"Name","GP","PA","DEF","QB","RB","WR","TE"
"Dallas Cowboys","17","18.5","10.6","15.2","17.2","23.5","8.2"
"Baltimore Ravens","17","16.5","10.4","13.4","17.3","24.7","8.2"
"Buffalo Bills","17","18.3","9.4","14.9","18.5","24.5","8"
"New York Jets","17","20.9","9.4","13.1","22.4","16.9","9.9"
"Cleveland Browns","17","21.3","9.2","14.4","18.4","22.7","7.3"
"Miami Dolphins","17","23","9.2","18.1","17.3","29","10.6"
"Las Vegas Raiders","17","19.5","8.6","15.3","20.8","26.1","8.5"
"New Orleans Saints","17","19.2","8.5","15.6","17.2","24.8","10"
"Indianapolis Colts","17","24.4","8.4","17.6","23.6","25.9","9"
"Pittsburgh Steelers","17","19.1","8.3","15.5","19.4","26.6","10"
"San Francisco 49ers","17","17.5","8.3","15.2","15.8","27.7","8.4"
"Tampa Bay Buccaneers","17","19.1","7.9","18.8","15.5","29.4","11"
"Kansas City Chiefs","17","17.3","7.9","15","17.2","22.1","8.2"
"Houston Texans","17","20.8","7.8","18.2","18.3","26","10.3"
"New York Giants","17","23.9","7.7","16.3","21","31.4","8.1"
"Minnesota Vikings","17","21.3","7.5","17.2","17.2","31.5","8.7"
"Chicago Bears","17","22.3","7.1","18.3","20.7","26.7","9.8"
"Jacksonville Jaguars","17","21.8","7.1","19.6","19.6","28.9","9.3"
"Cincinnati Bengals","17","22.6","6.9","18.1","19.2","29.6","11.5"
"Denver Broncos","17","24.3","6.9","17.7","24.1","26.1","12.8"
"Los Angeles Chargers","17","23.4","6.9","19","20.2","31.8","9.2"
"Green Bay Packers","17","20.6","6.9","15.6","19.6","26.3","9.7"
"Seattle Seahawks","17","23.6","6.4","17.3","24.2","28.4","9.8"
"New England Patriots","17","21.5","6.4","15.2","18.4","26.4","7.1"
"Detroit Lions","17","23.2","6.3","20.4","13.9","33.2","10.1"
"Philadelphia Eagles","17","25.2","6.2","21.1","17.1","37.1","9.8"
"Atlanta Falcons","17","21.9","5.8","18.8","16.5","24","9.8"
"Tennessee Titans","17","21.6","5.8","15.7","17","30.5","7.7"
"Los Angeles Rams","17","22.2","5","19.5","14.5","30.6","11"
"Carolina Panthers","17","24.5","4.2","13.2","23.4","22.1","7.6"
"Arizona Cardinals","17","26.8","3.8","19.5","25.1","26.8","9.2"
"Washington Commanders","17","30.5","3.5","21.2","23.7","36.3","8.3"